"Sample"	"Group"	"Lake"	"Date"	"Site"	"Depth"	"Fraction"	"Season"	"Origin"
"183"	"Z14.005.P"	"Inland"	"Woodland"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"184"	"Z14.006.F"	"Inland"	"Woodland"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"185"	"Z14.006.P"	"Inland"	"Woodland"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"186"	"Z14.007.F"	"Inland"	"Woodland"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"187"	"Z14.007.P"	"Inland"	"Woodland"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"188"	"Z14.008.F"	"Inland"	"Woodland"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"189"	"Z14.008.P"	"Inland"	"Woodland"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"190"	"Z14.009.F"	"Inland"	"BigSeven"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"191"	"Z14.009.P"	"Inland"	"BigSeven"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
"192"	"Z14.010.F"	"Inland"	"BigSeven"	"Su14"	"Top"	"Top"	"Free"	"Summer"	"Water"
"193"	"Z14.010.P"	"Inland"	"BigSeven"	"Su14"	"Top"	"Top"	"Particle"	"Summer"	"Water"
"194"	"Z14.011.F"	"Inland"	"BigSeven"	"Su14"	"Bottom"	"Bottom"	"Free"	"Summer"	"Water"
"195"	"Z14.011.P"	"Inland"	"BigSeven"	"Su14"	"Bottom"	"Bottom"	"Particle"	"Summer"	"Water"
"196"	"Z14.012.F"	"Inland"	"BigSeven"	"Su14"	"Outlet"	"Top"	"Free"	"Summer"	"Water"
"197"	"Z14.012.P"	"Inland"	"BigSeven"	"Su14"	"Outlet"	"Top"	"Particle"	"Summer"	"Water"
"198"	"Z14.013.F"	"Inland"	"Heron"	"Su14"	"Inlet"	"Top"	"Free"	"Summer"	"Water"
"199"	"Z14.013.P"	"Inland"	"Heron"	"Su14"	"Inlet"	"Top"	"Particle"	"Summer"	"Water"
